0.39 ,1.82 ,-0.03 ,4.00 ,2.00 ,1.00 ,0.00 
0.40 ,1.83 ,-0.02 ,1.00 ,1.00 ,3.00 ,4.00 
0.42 ,1.83 ,-0.01 ,2.00 ,3.00 ,3.00 ,2.00 
0.44 ,1.84 ,0.00 ,2.00 ,2.00 ,3.00 ,2.00 
0.48 ,1.86 ,0.00 ,1.00 ,2.00 ,2.00 ,1.00 
0.52 ,1.86 ,0.02 ,5.00 ,7.00 ,3.00 ,3.00 
0.57 ,1.96 ,0.10 ,6.00 ,4.00 ,5.00 ,5.00 
0.64 ,2.04 ,0.30 ,8.00 ,5.00 ,3.00 ,3.00 
0.80 ,2.25 ,0.56 ,4.00 ,7.00 ,5.00 ,12.00 
1.10 ,2.41 ,0.80 ,1.00 ,0.00 ,1.00 ,0.00 
1.31 ,2.54 ,0.80 ,4.00 ,5.00 ,3.00 ,3.00 
1.46 ,2.56 ,0.80 ,4.00 ,5.00 ,5.00 ,5.00 
1.54 ,2.59 ,0.88 ,1.00 ,4.00 ,2.00 ,1.00 
1.56 ,2.62 ,0.85 ,1.00 ,2.00 ,1.00 ,2.00 
1.57 ,2.59 ,0.76 ,3.00 ,5.00 ,5.00 ,4.00 
1.58 ,2.55 ,0.71 ,2.00 ,3.00 ,6.00 ,3.00 
1.56 ,2.52 ,0.68 ,4.00 ,3.00 ,3.00 ,3.00 
1.51 ,2.49 ,0.67 ,0.00 ,1.00 ,1.00 ,1.00 
1.50 ,2.45 ,0.65 ,1.00 ,1.00 ,1.00 ,0.00 
1.41 ,2.41 ,0.60 ,1.00 ,1.00 ,0.00 ,0.00 
1.35 ,2.36 ,0.53 ,2.00 ,1.00 ,1.00 ,1.00 
1.27 ,2.32 ,0.48 ,4.00 ,4.00 ,2.00 ,3.00 
1.22 ,2.31 ,0.53 ,8.00 ,6.00 ,3.00 ,3.00 
1.23 ,2.39 ,0.63 ,4.00 ,6.00 ,5.00 ,5.00 
1.32 ,2.45 ,0.71 ,2.00 ,3.00 ,1.00 ,0.00 
1.40 ,2.49 ,0.71 ,2.00 ,3.00 ,2.00 ,2.00 
1.45 ,2.47 ,0.67 ,0.00 ,0.00 ,0.00 ,0.00 
1.43 ,2.43 ,0.62 ,0.00 ,0.00 ,0.00 ,0.00 
1.38 ,2.38 ,0.56 ,0.00 ,0.00 ,0.00 ,0.00 
1.31 ,2.33 ,0.51 ,0.00 ,0.00 ,0.00 ,0.00 
1.24 ,2.29 ,0.46 ,1.00 ,0.00 ,0.00 ,0.00 
1.17 ,2.25 ,0.42 ,0.00 ,0.00 ,0.00 ,0.00 
1.08 ,2.21 ,0.39 ,0.00 ,0.00 ,0.00 ,0.00 
1.00 ,2.19 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 
0.99 ,2.16 ,0.31 ,0.00 ,0.00 ,0.00 ,0.00 
0.96 ,2.13 ,0.26 ,0.00 ,0.00 ,0.00 ,0.00 
0.92 ,2.09 ,0.24 ,0.00 ,0.00 ,0.00 ,0.00 
0.87 ,2.07 ,0.26 ,0.00 ,0.00 ,0.00 ,0.00 
